frame,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,matricula_detectada,conf_matricula,mx1,my1,mx2,my2,texto_matricula
1,car,0.84,1,1321,312,1398,371,,,,,,,
1,car,0.49,2,1231,313,1279,343,,,,,,,
1,car,0.35,3,1281,318,1320,343,,,,,,,
1,car,0.3,4,1274,315,1312,343,,,,,,,
2,car,0.81,1,1321,312,1397,371,,,,,,,
2,car,0.48,2,1231,313,1279,342,,,,,,,
2,car,0.33,3,1281,318,1320,343,,,,,,,
2,car,0.29,4,1273,315,1309,343,,,,,,,
3,car,0.82,1,1320,312,1395,371,,,,,,,
3,car,0.44,2,1230,313,1278,342,,,,,,,
3,car,0.32,3,1281,318,1320,343,,,,,,,
3,car,0.27,4,1273,315,1311,342,,,,,,,
4,car,0.84,1,1318,312,1395,371,,,,,,,
4,car,0.49,2,1230,314,1278,342,,,,,,,
4,car,0.29,3,1281,317,1319,343,,,,,,,
4,car,0.28,4,1273,315,1311,343,,,,,,,
5,car,0.82,1,1316,312,1394,371,,,,,,,
5,car,0.45,2,1232,314,1279,343,,,,,,,
5,car,0.27,3,1282,317,1319,343,,,,,,,
5,car,0.25,4,1274,315,1308,343,,,,,,,
6,car,0.81,1,1316,312,1392,370,,,,,,,
6,car,0.41,2,1232,313,1278,342,,,,,,,
6,car,0.25,3,1283,317,1319,343,,,,,,,
6,car,0.23,4,1274,315,1306,343,,,,,,,
7,car,0.8,1,1316,312,1390,370,,,,,,,
7,car,0.45,2,1232,314,1277,343,,,,,,,
7,car,0.25,3,1284,317,1320,343,,,,,,,
7,car,0.24,4,1273,315,1305,343,,,,,,,
8,car,0.79,1,1314,312,1389,369,,,,,,,
8,car,0.44,2,1230,314,1275,343,,,,,,,
8,car,0.24,3,1284,317,1319,343,,,,,,,
8,car,0.23,4,1272,315,1308,343,,,,,,,
9,car,0.78,1,1313,312,1387,368,,,,,,,
9,car,0.42,2,1229,315,1274,343,,,,,,,
9,car,0.23,3,1284,318,1319,343,,,,,,,
9,car,0.23,4,1272,316,1310,343,,,,,,,
10,car,0.81,1,1311,312,1386,368,,,,,,,
10,car,0.42,2,1229,315,1272,343,,,,,,,
10,car,0.26,3,1285,318,1319,345,,,,,,,
10,car,0.22,4,1272,316,1312,343,,,,,,,
11,car,0.8,1,1310,312,1385,367,,,,,,,
11,car,0.4,2,1228,315,1270,343,,,,,,,
11,car,0.26,3,1289,318,1319,346,,,,,,,
11,car,0.21,4,1271,316,1312,343,,,,,,,
12,car,0.78,1,1309,312,1384,368,,,,,,,
12,car,0.41,2,1228,315,1269,343,,,,,,,
12,car,0.27,3,1293,318,1319,347,,,,,,,
12,car,0.21,4,1269,316,1311,343,,,,,,,
13,car,0.79,1,1309,312,1382,368,,,,,,,
13,car,0.32,2,1228,315,1264,342,,,,,,,
13,car,0.25,3,1295,318,1320,348,,,,,,,
13,car,0.2,4,1267,315,1310,343,,,,,,,
14,car,0.79,1,1309,312,1380,368,,,,,,,
14,car,0.28,2,1227,315,1262,341,,,,,,,
14,car,0.26,3,1294,317,1320,348,,,,,,,
14,car,0.19,4,1266,315,1312,343,,,,,,,
15,car,0.78,1,1309,312,1378,368,,,,,,,
15,car,0.3,2,1227,315,1262,341,,,,,,,
15,car,0.23,3,1295,317,1320,346,,,,,,,
15,car,0.16,4,1267,314,1312,343,,,,,,,
16,car,0.77,1,1308,312,1375,367,,,,,,,
16,car,0.31,2,1227,315,1262,341,,,,,,,
16,car,0.26,3,1294,317,1320,346,,,,,,,
16,car,0.16,4,1268,313,1314,343,,,,,,,
17,car,0.78,1,1308,313,1374,367,,,,,,,
17,car,0.32,2,1226,315,1262,341,,,,,,,
17,car,0.18,4,1269,313,1314,343,,,,,,,
18,car,0.78,1,1308,313,1373,366,,,,,,,
18,car,0.27,2,1226,315,1262,341,,,,,,,
18,car,0.16,4,1269,313,1314,343,,,,,,,
19,car,0.77,1,1308,313,1372,367,,,,,,,
19,car,0.28,2,1227,316,1261,341,,,,,,,
19,car,0.14,4,1269,312,1313,343,,,,,,,
20,car,0.78,1,1308,314,1370,367,,,,,,,
20,car,0.31,2,1227,316,1261,341,,,,,,,
20,car,0.16,4,1270,313,1311,343,,,,,,,
21,car,0.75,1,1308,313,1369,368,,,,,,,
21,car,0.34,2,1227,317,1261,341,,,,,,,
21,car,0.17,4,1270,314,1312,344,,,,,,,
22,car,0.73,1,1308,313,1368,368,,,,,,,
22,car,0.36,2,1226,317,1261,341,,,,,,,
22,car,0.18,4,1269,314,1311,344,,,,,,,
23,car,0.74,1,1308,313,1366,367,,,,,,,
23,car,0.39,2,1225,316,1261,341,,,,,,,
23,car,0.19,4,1269,314,1308,343,,,,,,,
24,car,0.72,1,1308,313,1366,366,,,,,,,
24,car,0.41,2,1225,318,1261,341,,,,,,,
24,car,0.19,4,1269,314,1303,343,,,,,,,
25,car,0.7,1,1308,312,1366,366,,,,,,,
25,car,0.46,2,1225,318,1261,342,,,,,,,
25,car,0.16,4,1269,313,1307,343,,,,,,,
26,car,0.71,1,1308,312,1365,366,,,,,,,
26,car,0.44,2,1225,318,1261,342,,,,,,,
26,car,0.18,4,1268,312,1309,343,,,,,,,
27,car,0.69,1,1308,311,1365,365,,,,,,,
27,car,0.45,2,1224,318,1261,342,,,,,,,
27,car,0.19,4,1268,312,1308,343,,,,,,,
28,car,0.67,1,1308,310,1364,366,,,,,,,
28,car,0.43,2,1224,318,1261,342,,,,,,,
28,car,0.17,4,1266,312,1307,343,,,,,,,
29,car,0.65,1,1307,309,1364,365,,,,,,,
29,car,0.43,2,1224,317,1261,342,,,,,,,
29,car,0.15,4,1266,311,1307,343,,,,,,,
30,car,0.63,1,1307,308,1362,365,,,,,,,
30,car,0.4,2,1224,317,1261,342,,,,,,,
30,car,0.16,4,1264,311,1305,343,,,,,,,
31,car,0.62,1,1306,307,1359,364,,,,,,,
31,car,0.36,2,1225,317,1260,342,,,,,,,
31,car,0.14,4,1263,310,1304,343,,,,,,,
32,car,0.64,1,1305,308,1357,363,,,,,,,
32,car,0.29,2,1226,318,1260,341,,,,,,,
32,car,0.14,4,1262,310,1303,343,,,,,,,
33,car,0.64,1,1304,308,1356,363,,,,,,,
33,car,0.26,2,1226,317,1260,341,,,,,,,
33,car,0.12,4,1262,310,1302,343,,,,,,,
34,car,0.63,1,1303,308,1355,363,,,,,,,
34,car,0.28,2,1227,317,1260,341,,,,,,,
34,car,0.13,4,1262,310,1299,343,,,,,,,
35,car,0.62,1,1302,308,1354,363,,,,,,,
35,car,0.24,2,1227,318,1258,342,,,,,,,
35,car,0.12,4,1262,310,1295,343,,,,,,,
36,car,0.6,1,1302,309,1352,362,,,,,,,
36,car,0.33,2,1226,318,1258,342,,,,,,,
36,car,0.14,4,1260,310,1294,343,,,,,,,
37,car,0.6,1,1302,310,1351,362,,,,,,,
37,car,0.25,2,1226,319,1257,342,,,,,,,
37,car,0.13,4,1259,311,1293,343,,,,,,,
38,car,0.54,1,1302,311,1350,362,,,,,,,
38,car,0.11,2,1227,317,1257,343,,,,,,,
38,car,0.12,4,1259,311,1294,343,,,,,,,
39,car,0.49,1,1302,313,1348,362,,,,,,,
39,car,0.11,4,1259,311,1294,343,,,,,,,
40,car,0.48,1,1302,314,1347,361,,,,,,,
40,car,0.11,4,1259,311,1293,342,,,,,,,
41,car,0.45,1,1302,314,1347,362,,,,,,,
42,car,0.51,1,1303,315,1345,360,,,,,,,
43,car,0.46,1,1302,316,1344,360,,,,,,,
44,car,0.53,1,1302,316,1342,361,,,,,,,
45,car,0.42,1,1300,316,1341,361,,,,,,,
46,car,0.38,1,1300,315,1340,361,,,,,,,
47,car,0.38,1,1300,313,1340,359,,,,,,,
48,car,0.31,1,1300,313,1339,358,,,,,,,
49,car,0.28,1,1298,314,1338,357,,,,,,,
50,car,0.27,1,1297,315,1338,357,,,,,,,
51,car,0.3,1,1296,316,1338,359,,,,,,,
52,car,0.29,1,1295,318,1337,359,,,,,,,
53,car,0.28,1,1294,319,1337,361,,,,,,,
54,car,0.22,1,1293,318,1337,362,,,,,,,
55,car,0.19,1,1293,314,1336,363,,,,,,,
56,car,0.19,1,1293,313,1336,361,,,,,,,
57,car,0.17,1,1293,312,1336,359,,,,,,,
58,car,0.17,1,1292,312,1333,356,,,,,,,
59,car,0.19,1,1292,313,1331,355,,,,,,,
60,car,0.23,1,1290,314,1330,356,,,,,,,
61,car,0.23,1,1290,315,1329,356,,,,,,,
62,car,0.3,1,1289,318,1328,357,,,,,,,
63,car,0.38,1,1289,321,1329,358,,,,,,,
64,car,0.41,1,1289,321,1328,358,,,,,,,
65,car,0.43,1,1288,319,1327,358,,,,,,,
66,car,0.44,1,1288,319,1326,359,matricula,0.27,1305,356,1325,358,
67,car,0.48,1,1287,319,1326,360,,,,,,,
68,car,0.46,1,1287,319,1325,359,,,,,,,
69,car,0.47,1,1287,320,1325,359,,,,,,,
70,car,0.51,1,1286,320,1326,360,,,,,,,
71,car,0.44,1,1286,319,1326,358,,,,,,,
72,car,0.52,1,1286,319,1324,358,,,,,,,
73,car,0.6,1,1286,319,1323,358,,,,,,,
74,car,0.59,1,1286,320,1323,357,,,,,,,
75,car,0.59,1,1285,321,1322,356,,,,,,,
76,car,0.53,1,1285,321,1321,355,,,,,,,
77,car,0.51,1,1285,317,1320,356,,,,,,,
78,car,0.55,1,1285,316,1318,356,,,,,,,
79,car,0.51,1,1285,313,1318,356,,,,,,,
80,car,0.43,1,1284,311,1318,355,,,,,,,
81,car,0.4,1,1284,311,1318,356,,,,,,,
82,car,0.37,1,1284,312,1317,356,,,,,,,
83,car,0.36,1,1284,313,1316,356,,,,,,,
84,car,0.38,1,1283,313,1315,355,,,,,,,
85,car,0.31,1,1284,310,1315,354,,,,,,,
86,car,0.34,1,1284,308,1315,354,,,,,,,
87,car,0.25,1,1284,308,1314,354,,,,,,,
88,car,0.23,1,1283,308,1314,353,,,,,,,
89,car,0.31,1,1284,308,1314,352,,,,,,,
89,car,0.37,40,1463,318,1515,379,,,,,,,
90,car,0.34,1,1283,306,1314,351,,,,,,,
90,car,0.3,40,1463,319,1516,380,,,,,,,
91,car,0.3,1,1282,307,1313,352,,,,,,,
91,car,0.45,40,1458,318,1516,381,,,,,,,
92,car,0.29,1,1280,310,1313,354,,,,,,,
92,car,0.45,40,1459,317,1515,379,,,,,,,
93,car,0.28,1,1280,311,1312,354,,,,,,,
93,car,0.56,40,1456,319,1515,379,,,,,,,
94,car,0.24,1,1280,311,1312,353,,,,,,,
94,car,0.52,40,1454,319,1514,379,,,,,,,
95,car,0.29,1,1278,308,1312,352,,,,,,,
95,car,0.59,40,1453,319,1514,379,,,,,,,
95,person,0.61,41,0,249,41,478,,,,,,,
95,person,0.47,43,0,248,27,482,,,,,,,
96,car,0.26,1,1277,306,1312,352,,,,,,,
96,car,0.61,40,1451,319,1513,379,,,,,,,
96,person,0.76,41,0,237,53,486,,,,,,,
96,person,0.2,43,0,239,35,494,,,,,,,
97,car,0.1,1,1277,302,1311,351,,,,,,,
97,car,0.73,40,1449,319,1513,381,,,,,,,
97,person,0.79,41,0,234,60,488,,,,,,,
98,car,0.12,1,1276,300,1311,350,,,,,,,
98,car,0.71,40,1449,320,1514,381,,,,,,,
98,person,0.83,41,0,231,68,490,,,,,,,
99,car,0.12,1,1276,300,1311,348,,,,,,,
99,car,0.72,40,1446,320,1514,381,,,,,,,
99,person,0.82,41,0,232,73,491,,,,,,,
100,car,0.13,1,1277,299,1311,347,,,,,,,
100,car,0.71,40,1443,320,1514,381,,,,,,,
