frame,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,matricula_detectada,conf_matricula,mx1,my1,mx2,my2,texto_matricula
1,car,0.83,1,1155,1309,1646,1791,,,,,,,
1,car,0.82,2,761,1373,1435,1975,matricula,0.72,994,1789,1172,1849,
1,car,0.77,3,506,1962,1172,2155,,,,,,,
1,car,0.75,4,2204,1167,2776,1740,matricula,0.88,2421,1581,2582,1624,
1,car,0.74,5,2039,877,2432,1219,,,,,,,
1,car,0.74,6,1252,1014,1743,1433,,,,,,,
1,car,0.73,7,0,689,359,981,,,,,,,
1,car,0.6,8,1295,835,1660,1054,,,,,,,
1,car,0.45,9,1483,764,1790,1058,,,,,,,
1,car,0.42,10,593,578,817,781,,,,,,,
1,car,0.39,11,1407,663,1693,834,,,,,,,
1,car,0.31,12,2126,689,2426,876,,,,,,,
1,person,0.26,13,2606,2011,2758,2151,,,,,,,
2,car,0.84,1,1156,1311,1646,1794,,,,,,,
2,car,0.8,2,762,1375,1430,1986,matricula,0.31,993,1796,1168,1856,
2,car,0.77,3,505,1969,1173,2156,,,,,,,
2,car,0.76,4,2203,1166,2771,1745,matricula,0.89,2417,1582,2583,1626,
2,car,0.75,5,2039,879,2437,1224,,,,,,,
2,car,0.74,6,1251,1014,1741,1429,,,,,,,
2,car,0.72,7,0,691,362,981,,,,,,,
2,car,0.57,8,1293,837,1659,1053,,,,,,,
2,car,0.42,9,1484,767,1789,1061,,,,,,,
2,car,0.45,10,593,579,817,780,,,,,,,
2,car,0.36,11,1406,665,1692,835,,,,,,,
2,car,0.38,12,2132,688,2424,877,,,,,,,
2,person,0.26,13,2606,2012,2762,2152,,,,,,,
3,car,0.82,1,1151,1319,1643,1803,,,,,,,
3,car,0.83,2,759,1382,1424,1998,matricula,0.53,999,1805,1159,1867,
3,car,0.71,3,492,1982,1166,2160,,,,,,,
3,car,0.77,4,2205,1176,2776,1751,matricula,0.89,2425,1588,2585,1633,
3,car,0.69,5,2040,879,2440,1226,,,,,,,
3,car,0.75,6,1247,1018,1741,1428,,,,,,,
