fotograma,track_id,tipo_objeto,confianza,x1,y1,x2,y2,texto_matricula
1,1,coche,0.84,1321,312,1398,371,
1,2,coche,0.49,1231,313,1279,343,
1,3,coche,0.35,1281,318,1320,343,
1,4,coche,0.30,1274,315,1312,343,
2,1,coche,0.81,1321,312,1397,371,
2,2,coche,0.48,1231,313,1279,342,
2,3,coche,0.33,1281,318,1320,343,
2,4,coche,0.29,1273,315,1309,343,
3,1,coche,0.82,1320,312,1395,371,
3,2,coche,0.44,1230,313,1278,342,
3,3,coche,0.32,1281,318,1320,343,
3,4,coche,0.27,1273,315,1311,342,
4,1,coche,0.84,1318,312,1395,371,
4,2,coche,0.49,1230,314,1278,342,
4,3,coche,0.29,1281,317,1319,343,
4,4,coche,0.28,1273,315,1311,343,
5,1,coche,0.82,1316,312,1394,371,
5,2,coche,0.45,1232,314,1279,343,
5,3,coche,0.27,1282,317,1319,343,
5,4,coche,0.25,1274,315,1308,343,
6,1,coche,0.81,1316,312,1392,370,
6,2,coche,0.41,1232,313,1278,342,
6,3,coche,0.25,1283,317,1319,343,
6,4,coche,0.23,1274,315,1306,343,
7,1,coche,0.80,1316,312,1390,370,
7,2,coche,0.45,1232,314,1277,343,
7,3,coche,0.25,1284,317,1320,343,
7,4,coche,0.24,1273,315,1305,343,
8,1,coche,0.79,1314,312,1389,369,
8,2,coche,0.44,1230,314,1275,343,
8,3,coche,0.24,1284,317,1319,343,
8,4,coche,0.23,1272,315,1308,343,
9,1,coche,0.78,1313,312,1387,368,
9,2,coche,0.42,1229,315,1274,343,
9,3,coche,0.23,1284,318,1319,343,
9,4,coche,0.23,1272,316,1310,343,
10,1,coche,0.81,1311,312,1386,368,
10,2,coche,0.42,1229,315,1272,343,
10,3,coche,0.26,1285,318,1319,345,
10,4,coche,0.22,1272,316,1312,343,
11,1,coche,0.80,1310,312,1385,367,
11,2,coche,0.40,1228,315,1270,343,
11,3,coche,0.26,1289,318,1319,346,
11,4,coche,0.21,1271,316,1312,343,
12,1,coche,0.78,1309,312,1384,368,
12,2,coche,0.41,1228,315,1269,343,
12,3,coche,0.27,1293,318,1319,347,
12,4,coche,0.21,1269,316,1311,343,
13,1,coche,0.79,1309,312,1382,368,
13,2,coche,0.32,1228,315,1264,342,
13,3,coche,0.25,1295,318,1320,348,
13,4,coche,0.20,1267,315,1310,343,
14,1,coche,0.79,1309,312,1380,368,
14,2,coche,0.28,1227,315,1262,341,
14,3,coche,0.26,1294,317,1320,348,
