epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1995,1.67519,4.58761,1.6174,0.00078,0.20755,0.01082,0.00371,1.31732,4.34416,1.3379,0.00016,0.00016,0.00016
2,28.8028,1.19441,3.15847,1.17965,0.00305,0.81132,0.33124,0.18782,1.11982,3.82751,1.00221,0.000333268,0.000333268,0.000333268
3,37.9647,1.22974,2.39078,1.15873,0.00333,0.88679,0.39772,0.24722,1.24277,3.78512,0.96758,0.000499408,0.000499408,0.000499408
4,46.8665,1.20286,2.16133,1.10245,0.00333,0.88679,0.23194,0.10313,1.35984,3.95391,1.03915,0.00065842,0.00065842,0.00065842
5,55.7672,1.22169,2.12483,1.08096,1,0.03719,0.31692,0.16928,1.29198,3.98802,1.04994,0.000810304,0.000810304,0.000810304
6,64.6644,1.26788,2.1503,1.14985,0.00244,0.49057,0.09724,0.04712,1.26339,4.05582,1.07219,0.00095506,0.00095506,0.00095506
7,73.5267,1.21797,1.9313,1.08134,0.92044,0.18868,0.23259,0.12955,1.19032,3.83387,1.06752,0.00109269,0.00109269,0.00109269
8,82.3829,1.23958,1.83036,1.15523,0.51688,0.16981,0.16272,0.10203,1.25811,3.7688,1.12474,0.00122319,0.00122319,0.00122319
9,91.2212,1.29665,1.85871,1.16164,0.7651,0.22642,0.29836,0.19924,1.28595,3.47739,1.12079,0.00134656,0.00134656,0.00134656
10,100.033,1.17703,1.73155,1.13318,0.67335,0.28302,0.32227,0.22093,1.312,3.19067,1.14693,0.0014628,0.0014628,0.0014628
11,108.997,1.16074,1.64443,1.12299,0.61578,0.32075,0.3756,0.2203,1.24261,3.18645,1.08856,0.00157192,0.00157192,0.00157192
12,117.902,1.22102,1.59756,1.10806,0.77944,0.33358,0.44789,0.28804,1.29056,2.75647,1.12154,0.0015644,0.0015644,0.0015644
13,126.797,1.20516,1.65878,1.1284,0.7968,0.41509,0.50011,0.28617,1.33985,2.54917,1.12127,0.0015248,0.0015248,0.0015248
14,135.649,1.13421,1.419,1.08251,0.72002,0.35849,0.51023,0.31469,1.23214,2.37582,1.1458,0.0014852,0.0014852,0.0014852
15,144.483,1.08446,1.4208,1.07215,0.70156,0.33962,0.49848,0.31959,1.20153,2.23225,1.06397,0.0014456,0.0014456,0.0014456
16,153.395,1.09165,1.33676,1.07233,0.66956,0.67925,0.70428,0.42913,1.13076,1.75759,1.09799,0.001406,0.001406,0.001406
17,162.218,1.07784,1.27247,1.03893,0.72178,0.64151,0.69689,0.45492,1.11901,1.75877,1.08984,0.0013664,0.0013664,0.0013664
18,171.031,1.02834,1.24048,1.03802,0.70859,0.64233,0.70774,0.45796,1.15544,1.68693,1.06973,0.0013268,0.0013268,0.0013268
19,179.848,1.04408,1.30028,1.06626,0.75842,0.71091,0.73055,0.46205,1.17693,1.64246,1.10546,0.0012872,0.0012872,0.0012872
20,188.733,1.04375,1.17999,1.0611,0.86943,0.75386,0.81926,0.57042,1.13912,1.268,1.11441,0.0012476,0.0012476,0.0012476
21,197.636,1.00899,1.13173,1.01745,0.80867,0.71698,0.80082,0.51155,1.18995,1.32378,1.11945,0.001208,0.001208,0.001208
22,206.516,1.08885,1.17127,1.06236,0.94544,0.71698,0.81697,0.49136,1.24312,1.24256,1.13709,0.0011684,0.0011684,0.0011684
23,215.399,1.07679,1.21595,1.0879,0.8854,0.79245,0.84187,0.53881,1.18535,1.18367,1.10573,0.0011288,0.0011288,0.0011288
24,224.297,1.03458,1.11463,1.02031,0.90014,0.75472,0.83949,0.55453,1.15259,1.22599,1.06109,0.0010892,0.0010892,0.0010892
25,233.165,1.03554,1.11797,1.04029,0.80891,0.79245,0.82384,0.54601,1.14066,1.20536,1.0529,0.0010496,0.0010496,0.0010496
26,242.015,0.99161,1.05134,1.00515,0.83505,0.79245,0.82212,0.52719,1.21492,1.28828,1.05868,0.00101,0.00101,0.00101
27,250.866,0.91282,0.98108,0.9801,0.876,0.81132,0.86186,0.57404,1.19701,1.18187,1.05159,0.0009704,0.0009704,0.0009704
28,259.795,0.88981,0.9806,0.98967,0.93529,0.81818,0.87357,0.5452,1.18907,1.08029,1.05326,0.0009308,0.0009308,0.0009308
29,268.647,0.95753,0.9708,1.02306,0.97321,0.81132,0.87837,0.57479,1.16038,1.05379,1.08549,0.0008912,0.0008912,0.0008912
30,277.513,0.87851,0.90963,0.9801,0.97331,0.83019,0.88206,0.5927,1.13706,1.03163,1.06321,0.0008516,0.0008516,0.0008516
31,286.381,0.89948,0.90378,0.99684,0.93333,0.81132,0.85495,0.6064,1.1288,1.02822,1.06485,0.000812,0.000812,0.000812
32,295.264,0.88747,0.93476,1.0045,0.97085,0.81132,0.87764,0.59886,1.14319,0.98086,1.10432,0.0007724,0.0007724,0.0007724
33,304.097,0.82178,0.83409,0.94741,0.8982,0.84906,0.87145,0.57199,1.19219,0.94808,1.06261,0.0007328,0.0007328,0.0007328
34,312.934,0.82262,0.83079,0.94702,0.93844,0.86303,0.89837,0.62212,1.07249,0.94044,1.02896,0.0006932,0.0006932,0.0006932
35,322.099,0.89695,0.90991,0.95512,0.93119,0.83019,0.86774,0.62857,1.01959,0.94525,1.01747,0.0006536,0.0006536,0.0006536
36,330.998,0.84487,0.83096,0.95307,0.93071,0.83019,0.86634,0.65648,0.97274,0.92593,1.02428,0.000614,0.000614,0.000614
37,339.859,0.75696,0.79611,0.95447,0.86764,0.86584,0.86013,0.62648,1.00672,0.97237,1.04379,0.0005744,0.0005744,0.0005744
38,352.614,0.77627,0.77416,0.94871,0.93435,0.79245,0.86549,0.64347,0.96234,0.96617,1.03061,0.0005348,0.0005348,0.0005348
39,361.48,0.72941,0.74971,0.94318,0.86699,0.86792,0.86432,0.63157,0.91705,0.91058,1.00386,0.0004952,0.0004952,0.0004952
40,370.367,0.78828,0.73973,0.93348,0.85226,0.87079,0.85973,0.6402,0.91034,0.95601,0.98835,0.0004556,0.0004556,0.0004556
41,405.272,0.73198,0.89367,0.93401,0.93309,0.78948,0.86421,0.65099,0.91276,0.97786,0.97364,0.000416,0.000416,0.000416
42,414.058,0.68202,0.89992,0.90995,0.8774,0.81022,0.84367,0.61814,1.00806,1.05521,1.01106,0.0003764,0.0003764,0.0003764
43,422.848,0.70072,0.88194,0.92027,0.87375,0.83019,0.85168,0.60302,1.03472,1.01003,1.02267,0.0003368,0.0003368,0.0003368
44,431.665,0.69012,0.85059,0.9038,0.88132,0.86792,0.85432,0.6397,0.95106,0.92975,1.00622,0.0002972,0.0002972,0.0002972
45,440.442,0.69042,0.84064,0.90313,0.87826,0.86792,0.86632,0.65474,0.92567,0.89546,0.98238,0.0002576,0.0002576,0.0002576
46,449.218,0.67361,0.82094,0.89338,0.8777,0.86792,0.8762,0.66865,0.90778,0.87393,0.98113,0.000218,0.000218,0.000218
47,458.008,0.62198,0.79121,0.88837,0.87955,0.86792,0.87963,0.65129,0.8983,0.87676,0.98711,0.0001784,0.0001784,0.0001784
48,466.796,0.59955,0.77101,0.88111,0.87959,0.86792,0.88282,0.66514,0.88026,0.84856,0.9742,0.0001388,0.0001388,0.0001388
49,475.608,0.62809,0.81262,0.88247,0.87801,0.86792,0.88105,0.66089,0.88444,0.85798,0.97266,9.92e-05,9.92e-05,9.92e-05
50,484.377,0.58285,0.77397,0.8813,0.87864,0.86792,0.88136,0.65622,0.88526,0.85673,0.97009,5.96e-05,5.96e-05,5.96e-05
